Câu hỏi,Gợi ý đáp án
"Nêu bối cảnh lịch sử, diễn biến và ý nghĩa của cuộc khởi nghĩa Hai Bà Trưng (40 SCN).","Bối cảnh: Nhân dân ta chịu ách đô hộ tàn bạo của nhà Hán. Diễn biến: Trưng Trắc và Trưng Nhị phất cờ khởi nghĩa, đánh chiếm Mê Linh và các thành trì khác. Ý nghĩa: Thể hiện tinh thần yêu nước, bất khuất của dân tộc."
Phân tích những thành tựu của nhà Lý (thế kỷ XI-XII) trong việc xây dựng và bảo vệ đất nước.,"Chính trị: Dời đô về Thăng Long, xây dựng bộ máy nhà nước quân chủ chuyên chế. Kinh tế: Thúc đẩy nông nghiệp, thương nghiệp, thủ công nghiệp. Văn hóa: Xây dựng Văn Miếu Quốc Tử Giám, phát triển Phật giáo."
"Trình bày nguyên nhân, diễn biến và kết quả của ba lần kháng chiến chống quân Mông-Nguyên.","Nguyên nhân: Quân Mông-Nguyên xâm lược nước ta. Diễn biến: Diễn ra 3 lần với các trận đánh lớn. Kết quả: Ta đã giành thắng lợi, giữ vững nền độc lập."
Nêu những đóng góp của Nguyễn Trãi đối với cuộc khởi nghĩa Lam Sơn.,"Nguyễn Trãi là quân sư, người đã vạch ra chiến lược, soạn thảo Bình Ngô đại cáo, góp phần quan trọng vào thắng lợi của cuộc khởi nghĩa."
Trình bày diễn biến và kết quả của cuộc chiến tranh Trịnh - Nguyễn.,"Diễn biến: Diễn ra nhiều trận đánh lớn, chia cắt đất nước thành Đàng Ngoài và Đàng Trong. Kết quả: Gây ra tổn thất lớn cho cả hai bên và cho nhân dân."
Phân tích những chuyển biến về kinh tế và xã hội Việt Nam thế kỷ XVII-XVIII.,"Kinh tế: Kinh tế công thương nghiệp phát triển mạnh mẽ. Xã hội: Mâu thuẫn giai cấp sâu sắc, dẫn đến các cuộc khởi nghĩa nông dân."
Nêu nguyên nhân bùng nổ và ý nghĩa của phong trào Tây Sơn.,"Nguyên nhân: Mâu thuẫn giữa các tập đoàn phong kiến Trịnh, Nguyễn và sự bóc lột của chúng. Ý nghĩa: Đánh đổ các tập đoàn phong kiến, thống nhất đất nước, đánh bại quân xâm lược Xiêm và Thanh."
Trình bày chính sách đối ngoại của nhà Nguyễn từ 1802 đến 1858.,"Nhà Nguyễn theo đuổi chính sách bế quan tỏa cảng, từ chối giao thương với phương Tây, dẫn đến sự suy yếu của đất nước và tạo cơ hội cho thực dân Pháp xâm lược."
Phân tích quá trình thực dân Pháp xâm lược Việt Nam (1858-1896).,"Diễn ra từ năm 1858 với việc Pháp tấn công Đà Nẵng, sau đó là Nam Kỳ, rồi Bắc Kỳ."
Nêu ý nghĩa của các phong trào Cần Vương và Yên Thế.,"Cần Vương thể hiện tinh thần yêu nước, chống Pháp của tầng lớp văn thân, sĩ phu. Yên Thế là phong trào đấu tranh tự phát của nông dân."
